Event	Sample label	Depth corr cr [crmcd]	Age [ka BP]	Age opt [ka] (Option 1: insolation-tuned ag...)	Age opt [ka] (Option 2: Mediterranean-tuned...)	C. wuellerstorfi d18O [per mil PDB]	C. wuellerstorfi d13C [per mil PDB]	C. mundulus d18O [per mil PDB]	G. bulloides d18O [per mil PDB]
339-U1385D	339-U1385D-15H-3,68-69	142.78	1266.57	1266.65	1267.29				1.88
339-U1385D	339-U1385D-15H-3,69-70	142.79	1266.65	1266.72	1267.36				1.99
339-U1385D	339-U1385D-15H-3,70-71	142.80	1266.72	1266.79	1267.42	3.49	0.46		2.10
339-U1385D	339-U1385D-15H-3,71-72	142.81	1266.80	1266.86	1267.49	3.62	0.48		2.02
339-U1385D	339-U1385D-15H-3,72-73	142.82	1266.88	1266.93	1267.55	3.68	0.59		1.78
339-U1385D	339-U1385D-15H-3,73-74	142.83	1266.96	1267.00	1267.62	3.59	0.49		1.97
339-U1385D	339-U1385D-15H-3,74-75	142.84	1267.03	1267.07	1267.68	3.64	0.52		1.44
339-U1385D	339-U1385D-15H-3,75-76	142.85	1267.11	1267.14	1267.75	3.67	0.55		1.66
339-U1385D	339-U1385D-15H-3,76-77	142.86	1267.19	1267.21	1267.82	3.36	0.49		1.68
339-U1385D	339-U1385D-15H-3,77-78	142.87	1267.27	1267.28	1267.88	3.68	0.56		1.56
339-U1385D	339-U1385D-15H-3,78-79	142.88	1267.34	1267.35	1267.95	3.62	0.63		1.83
339-U1385D	339-U1385D-15H-3,79-80	142.89	1267.42	1267.42	1268.01	3.65	0.66		1.81
339-U1385D	339-U1385D-15H-3,80-81	142.90	1267.50	1267.49	1268.08	3.53	0.55		1.37
339-U1385D	339-U1385D-15H-3,81-82	142.91	1267.58	1267.56	1268.14	3.60	0.58		1.45
339-U1385D	339-U1385D-15H-3,82-83	142.92	1267.66	1267.63	1268.21	3.44	0.44		1.17
339-U1385D	339-U1385D-15H-3,83-84	142.93	1267.73	1267.70	1268.27	3.55	0.75		1.28
339-U1385D	339-U1385D-15H-3,84-85	142.94	1267.81	1267.76	1268.34	3.58	0.54		1.32
339-U1385D	339-U1385D-15H-3,85-86	142.95	1267.89	1267.83	1268.40	3.53	0.63		1.08
339-U1385D	339-U1385D-15H-3,86-87	142.96	1267.97	1267.90	1268.47	3.54	0.69		1.42
339-U1385D	339-U1385D-15H-3,87-88	142.97	1268.04	1267.97	1268.53	3.35	0.72		1.23
339-U1385D	339-U1385D-15H-3,88-89	142.98	1268.12	1268.04	1268.60	3.39	0.78		1.87
339-U1385D	339-U1385D-15H-3,89-90	142.99	1268.20	1268.11	1268.66	3.52	0.94		1.61
339-U1385D	339-U1385D-15H-3,90-91	143.00	1268.28	1268.18	1268.73	3.35	0.59		1.30
339-U1385D	339-U1385D-15H-3,91-92	143.01	1268.35	1268.25	1268.80	3.51	0.73		1.30
339-U1385D	339-U1385D-15H-3,92-93	143.02	1268.43	1268.32	1268.86	3.47	0.63		1.26
339-U1385D	339-U1385D-15H-3,93-94	143.03	1268.51	1268.39	1268.93	3.38	0.76		1.14
339-U1385D	339-U1385D-15H-3,94-95	143.04	1268.59	1268.46	1268.99			3.36	1.32
339-U1385D	339-U1385D-15H-3,95-96	143.05	1268.66	1268.53	1269.06	3.27	0.81		1.34
339-U1385D	339-U1385D-15H-3,96-97	143.06	1268.74	1268.60	1269.12	3.47	0.61		0.97
339-U1385D	339-U1385D-15H-3,97-98	143.07	1268.82	1268.67	1269.19	3.36	0.71		1.06
339-U1385D	339-U1385D-15H-3,98-99	143.08	1268.90	1268.74	1269.25			3.25	0.95
339-U1385D	339-U1385D-15H-3,99-100	143.09	1268.97	1268.81	1269.32	3.14	0.72		0.84
339-U1385D	339-U1385D-15H-3,100-101	143.10	1269.05	1268.88	1269.38	3.24	0.69		1.09
339-U1385D	339-U1385D-15H-3,101-102	143.11	1269.13	1268.95	1269.45	3.29	0.63		1.03
339-U1385D	339-U1385D-15H-3,102-103	143.12	1269.21	1269.01	1269.51	3.11	0.78		1.07
339-U1385D	339-U1385D-15H-3,103-104	143.13	1269.28	1269.08	1269.58	3.25	0.83		1.10
339-U1385D	339-U1385D-15H-3,104-105	143.14	1269.36	1269.15	1269.64				1.09
339-U1385D	339-U1385D-15H-3,105-106	143.15	1269.44	1269.22	1269.71				1.15
339-U1385D	339-U1385D-15H-3,106-107	143.16	1269.52	1269.29	1269.77	3.05	0.80		1.00
339-U1385D	339-U1385D-15H-3,107-108	143.17	1269.59	1269.36	1269.84	3.21	0.78		1.07
339-U1385D	339-U1385D-15H-3,108-109	143.18	1269.67	1269.43	1269.91	3.33	0.79		1.23
339-U1385D	339-U1385D-15H-3,109-110	143.19	1269.75	1269.50	1269.97	3.24	0.73		1.11
339-U1385D	339-U1385D-15H-3,110-111	143.20	1269.83	1269.57	1270.04	3.04	0.56		1.36
339-U1385D	339-U1385D-15H-3,111-112	143.21	1269.91	1269.64	1270.10	3.41	0.79		1.34
339-U1385D	339-U1385D-15H-3,112-113	143.22	1269.98	1269.71	1270.17				1.04
339-U1385D	339-U1385D-15H-3,113-114	143.23	1270.06	1269.78	1270.23			3.07	1.25
339-U1385D	339-U1385D-15H-3,114-115	143.24	1270.14	1269.85	1270.30				1.14
339-U1385D	339-U1385D-15H-3,115-116	143.25	1270.22	1269.92	1270.36	3.28	0.75		1.46
339-U1385D	339-U1385D-15H-3,116-117	143.26	1270.29	1269.99	1270.43				2.02
339-U1385D	339-U1385D-15H-3,117-118	143.27	1270.37	1270.06	1270.49	3.18	0.14		2.00
339-U1385D	339-U1385D-15H-3,118-119	143.28	1270.45	1270.13	1270.56	3.20	0.25		1.84
339-U1385D	339-U1385D-15H-3,119-120	143.29	1270.53	1270.20	1270.62	3.19	0.15		2.14
339-U1385D	339-U1385D-15H-3,120-121	143.30	1270.60	1270.27	1270.69	3.09	0.26		1.89
339-U1385D	339-U1385D-15H-3,121-122	143.31	1270.68	1270.33	1270.75				1.98
339-U1385D	339-U1385D-15H-3,122-123	143.32	1270.76	1270.40	1270.82	3.42	0.80		2.22
339-U1385D	339-U1385D-15H-3,123-124	143.33	1270.84	1270.47	1270.89				2.41
339-U1385D	339-U1385D-15H-3,124-125	143.34	1270.91	1270.54	1270.95	3.46	0.82		1.63
339-U1385D	339-U1385D-15H-3,125-126	143.35	1270.99	1270.61	1271.02	3.42	0.49		1.79
339-U1385D	339-U1385D-15H-3,126-127	143.36	1271.07	1270.68	1271.08			3.43	1.69
339-U1385D	339-U1385D-15H-3,127-128	143.37	1271.15	1270.75	1271.15	3.51	0.77		1.64
339-U1385D	339-U1385D-15H-3,128-129	143.38	1271.22	1270.82	1271.21	3.55	0.69		1.45
339-U1385D	339-U1385D-15H-3,129-130	143.39	1271.30	1270.89	1271.28	3.53	0.61		1.42
339-U1385D	339-U1385D-15H-3,130-131	143.40	1271.38	1270.96	1271.34	3.37	0.76		1.55
339-U1385D	339-U1385D-15H-3,131-132	143.41	1271.46	1271.03	1271.41	3.43	0.76		1.25
339-U1385D	339-U1385D-15H-3,132-133	143.42	1271.53	1271.10	1271.47	3.44	0.83		1.36
339-U1385D	339-U1385D-15H-3,133-134	143.43	1271.61	1271.17	1271.54	3.17	0.78		1.48
339-U1385D	339-U1385D-15H-3,134-135	143.44	1271.69	1271.24	1271.60				1.60
339-U1385D	339-U1385D-15H-3,135-136	143.45	1271.77	1271.31	1271.67	3.01	0.52		1.37
339-U1385D	339-U1385D-15H-3,136-137	143.46	1271.84	1271.38	1271.73			3.33	1.38
339-U1385D	339-U1385D-15H-3,137-138	143.47	1271.92	1271.45	1271.80	3.38	0.71		1.86
339-U1385D	339-U1385D-15H-3,138-139	143.48	1272.00	1271.52	1271.87				1.69
339-U1385D	339-U1385D-15H-3,139-140	143.49	1272.08	1271.58	1271.93	3.43	0.82		2.22
339-U1385D	339-U1385D-15H-3,140-141	143.50	1272.16	1271.65	1272.00				1.63
339-U1385D	339-U1385D-15H-3,141-142	143.51	1272.23	1271.72	1272.06	3.26	0.65		1.57
339-U1385D	339-U1385D-15H-3,142-143	143.52	1272.31	1271.79	1272.13	3.07	0.75		1.50
339-U1385D	339-U1385D-15H-3,143-144	143.53	1272.39	1271.86	1272.19				1.46
339-U1385D	339-U1385D-15H-3,144-145	143.54	1272.47	1271.93	1272.26	3.14	0.81		1.37
339-U1385D	339-U1385D-15H-3,145-146	143.55	1272.54	1272.00	1272.32				1.21
339-U1385D	339-U1385D-15H-3,146-147	143.56	1272.62	1272.07	1272.39	3.43	0.79		1.27
339-U1385D	339-U1385D-15H-3,147-148	143.57	1272.70	1272.14	1272.45	3.40	0.91		1.18
339-U1385D	339-U1385D-15H-3,148-149	143.58	1272.78	1272.21	1272.52	3.13	0.90		1.26
339-U1385D	339-U1385D-15H-3,149-150	143.59	1272.85	1272.28	1272.58	3.36	0.98		1.16
339-U1385D	339-U1385D-15H-3,150-151	143.60	1272.93	1272.35	1272.65	3.35	0.88		1.16
339-U1385D	339-U1385D-15H-3,151-152	143.61	1273.01	1272.42	1272.71	3.25	0.91		1.35
339-U1385D	339-U1385D-15H-3,152-153	143.62	1273.09	1272.49	1272.78				1.38
339-U1385D	339-U1385D-15H-4,0-1	143.63	1273.16	1272.56	1272.85	3.19	0.90		1.18
339-U1385D	339-U1385D-15H-4,1-2	143.64	1273.24	1272.63	1272.91				1.18
339-U1385D	339-U1385D-15H-4,2-3	143.65	1273.32	1272.70	1272.98	3.31	0.79		1.44
339-U1385D	339-U1385D-15H-4,3-4	143.66	1273.40	1272.77	1273.04	3.36	0.94		1.32
339-U1385D	339-U1385D-15H-4,4-5	143.67	1273.47	1272.83	1273.11	3.24	0.82		1.28
339-U1385D	339-U1385D-15H-4,5-6	143.68	1273.55	1272.90	1273.17	3.12	0.95		1.37
339-U1385D	339-U1385D-15H-4,6-7	143.69	1273.63	1272.97	1273.24	3.28	0.91		1.33
339-U1385D	339-U1385D-15H-4,7-8	143.70	1273.71	1273.04	1273.30	3.20	0.88		1.30
339-U1385D	339-U1385D-15H-4,8-9	143.71	1273.78	1273.11	1273.37	3.04	0.94		1.28
339-U1385D	339-U1385D-15H-4,9-10	143.72	1273.86	1273.18	1273.43			3.42	1.01
339-U1385D	339-U1385D-15H-4,10-11	143.73	1273.94	1273.25	1273.50	3.32	0.98		1.22
339-U1385D	339-U1385D-15H-4,11-12	143.74	1274.02	1273.32	1273.56				1.13
339-U1385D	339-U1385D-15H-4,12-13	143.75	1274.09	1273.39	1273.63			3.29	1.20
339-U1385D	339-U1385D-15H-4,13-14	143.76	1274.17	1273.46	1273.69	2.91	0.90		1.34
339-U1385D	339-U1385D-15H-4,14-15	143.77	1274.25	1273.53	1273.76	3.16	0.82		1.16
339-U1385D	339-U1385D-15H-4,15-16	143.78	1274.33	1273.60	1273.82	3.30	0.77		1.46
339-U1385D	339-U1385D-15H-4,16-17	143.79	1274.41	1273.67	1273.89	3.23	0.86		1.25
339-U1385D	339-U1385D-15H-4,17-18	143.80	1274.48	1273.74	1273.96				1.24
339-U1385D	339-U1385D-15H-4,18-19	143.81	1274.56	1273.81	1274.02	3.04	0.84		1.40
339-U1385D	339-U1385D-15H-4,19-20	143.82	1274.64	1273.88	1274.09	3.14	0.88		1.27
339-U1385D	339-U1385D-15H-4,20-21	143.83	1274.72	1273.95	1274.15				1.12
339-U1385D	339-U1385D-15H-4,21-22	143.84	1274.79	1274.02	1274.22	3.01	0.88		1.28
339-U1385D	339-U1385D-15H-4,22-23	143.85	1274.87	1274.09	1274.28			3.30	1.16
339-U1385D	339-U1385D-15H-4,23-24	143.86	1274.95	1274.15	1274.35			3.37	1.03
339-U1385D	339-U1385D-15H-4,24-25	143.87	1275.03	1274.22	1274.41				1.11
339-U1385D	339-U1385D-15H-4,25-26	143.88	1275.10	1274.29	1274.48	3.08	0.83		1.05
339-U1385D	339-U1385D-15H-4,26-27	143.89	1275.18	1274.36	1274.54				1.01
339-U1385D	339-U1385D-15H-4,27-28	143.90	1275.26	1274.43	1274.61	3.23	0.94		1.08
339-U1385D	339-U1385D-15H-4,28-29	143.91	1275.34	1274.50	1274.67	3.19	0.90		0.89
339-U1385D	339-U1385D-15H-4,29-30	143.92	1275.41	1274.57	1274.74	3.28	0.84		0.86
339-U1385D	339-U1385D-15H-4,30-31	143.93	1275.49	1274.64	1274.80	3.11	0.96		1.04
339-U1385D	339-U1385D-15H-4,31-32	143.94	1275.57	1274.71	1274.87	2.86	1.06		1.10
339-U1385D	339-U1385D-15H-4,32-33	143.95	1275.65	1274.78	1274.94	3.12	1.02		0.96
339-U1385D	339-U1385D-15H-4,33-34	143.96	1275.72	1274.85	1275.00	3.08	0.92		0.88
339-U1385D	339-U1385D-15H-4,34-35	143.97	1275.80	1274.92	1275.07				0.88
339-U1385D	339-U1385D-15H-4,35-36	143.98	1275.88	1274.99	1275.13			3.18	0.86
339-U1385D	339-U1385D-15H-4,36-37	143.99	1275.96	1275.06	1275.20	3.04	0.78		0.77
339-U1385D	339-U1385D-15H-4,37-38	144.00	1276.03	1275.13	1275.26			3.33	1.00
339-U1385D	339-U1385D-15H-4,38-39	144.01	1276.11	1275.20	1275.33			3.06	0.89
339-U1385D	339-U1385D-15H-4,39-40	144.02	1276.19	1275.27	1275.39	3.19	1.00		0.86
339-U1385D	339-U1385D-15H-4,40-41	144.03	1276.27	1275.34	1275.46	3.00	0.76		0.80
339-U1385D	339-U1385D-15H-4,41-42	144.04	1276.34	1275.40	1275.52	2.98	0.74		0.99
339-U1385D	339-U1385D-15H-4,42-43	144.05	1276.42	1275.47	1275.59	2.93	0.81		0.69
339-U1385D	339-U1385D-15H-4,43-44	144.06	1276.50	1275.54	1275.65			3.25	1.14
339-U1385D	339-U1385D-15H-4,44-45	144.07	1276.58	1275.61	1275.72				0.91
339-U1385D	339-U1385D-15H-4,45-46	144.08	1276.66	1275.68	1275.78			3.35	0.88
339-U1385D	339-U1385D-15H-4,46-47	144.09	1276.73	1275.75	1275.85				1.10
339-U1385D	339-U1385D-15H-4,47-48	144.10	1276.81	1275.82	1275.92				0.86
339-U1385D	339-U1385D-15H-4,48-49	144.11	1276.89	1275.89	1275.98	2.72	0.97		0.76
339-U1385D	339-U1385D-15H-4,49-50	144.12	1276.97	1275.96	1276.05				0.72
339-U1385D	339-U1385D-15H-4,50-51	144.13	1277.04	1276.03	1276.11				0.83
339-U1385D	339-U1385D-15H-4,51-52	144.14	1277.12	1276.10	1276.18	3.03	0.87		0.77
339-U1385D	339-U1385D-15H-4,52-53	144.15	1277.20	1276.17	1276.24	3.06	0.84		0.84
339-U1385D	339-U1385D-15H-4,53-54	144.16	1277.28	1276.24	1276.31	3.11	0.90		0.87
339-U1385D	339-U1385D-15H-4,54-55	144.17	1277.35	1276.31	1276.37	2.96	0.75		0.56
339-U1385D	339-U1385D-15H-4,55-56	144.18	1277.43	1276.38	1276.44			3.21	0.77
339-U1385D	339-U1385D-15H-4,56-57	144.19	1277.51	1276.45	1276.50				0.90
339-U1385D	339-U1385D-15H-4,57-58	144.20	1277.59	1276.52	1276.57				0.84
339-U1385D	339-U1385D-15H-4,58-59	144.21	1277.66	1276.59	1276.63	3.12	1.04		0.80
339-U1385D	339-U1385D-15H-4,59-60	144.22	1277.74	1276.65	1276.70	2.85	0.94		0.71
339-U1385D	339-U1385D-15H-4,60-61	144.23	1277.82	1276.72	1276.76	3.11	0.90		0.79
339-U1385D	339-U1385D-15H-4,61-62	144.24	1277.90	1276.79	1276.83				0.79
339-U1385D	339-U1385D-15H-4,62-63	144.25	1277.97	1276.86	1276.90	3.09	1.08		0.76
339-U1385D	339-U1385D-15H-4,63-64	144.26	1278.05	1276.93	1276.96				0.70
339-U1385D	339-U1385D-15H-4,64-65	144.27	1278.13	1277.00	1277.03			3.29	0.72
339-U1385D	339-U1385D-15H-4,65-66	144.28	1278.21	1277.07	1277.09	2.98	0.91		0.66
339-U1385D	339-U1385D-15H-4,66-67	144.29	1278.28	1277.14	1277.16				0.59
339-U1385D	339-U1385D-15H-4,67-68	144.30	1278.36	1277.21	1277.22	3.09	0.97		0.73
339-U1385D	339-U1385D-15H-4,68-69	144.31	1278.44	1277.28	1277.29				0.83
339-U1385D	339-U1385D-15H-4,69-70	144.32	1278.52	1277.35	1277.35	3.03	0.94		0.68
339-U1385D	339-U1385D-15H-4,70-71	144.33	1278.59	1277.42	1277.42	2.84	0.93		0.88
339-U1385D	339-U1385D-15H-4,71-72	144.34	1278.67	1277.49	1277.48	3.10	0.80		0.74
339-U1385D	339-U1385D-15H-4,72-73	144.35	1278.75	1277.56	1277.55	2.98	0.79		0.68
339-U1385D	339-U1385D-15H-4,73-74	144.36	1278.83	1277.63	1277.61	3.14	0.79		1.01
339-U1385D	339-U1385D-15H-4,74-75	144.37	1278.91	1277.70	1277.68				0.75
339-U1385D	339-U1385D-15H-4,75-76	144.38	1278.98	1277.77	1277.74	3.11	0.91		0.76
339-U1385D	339-U1385D-15H-4,76-77	144.39	1279.06	1277.84	1277.81	3.00	0.95		0.62
339-U1385D	339-U1385D-15H-4,77-78	144.40	1279.14	1277.91	1277.87	3.31	1.01		0.72
339-U1385D	339-U1385D-15H-4,78-79	144.41	1279.22	1277.97	1277.94	2.23	0.62		0.74
339-U1385D	339-U1385D-15H-4,79-80	144.42	1279.29	1278.04	1278.01	3.21	0.93		0.71
339-U1385D	339-U1385D-15H-4,80-81	144.43	1279.37	1278.11	1278.07	3.15	0.84		0.88
339-U1385D	339-U1385D-15H-4,81-82	144.44	1279.45	1278.18	1278.14	3.01	0.85		0.60
339-U1385D	339-U1385D-15H-4,82-83	144.45	1279.53	1278.25	1278.20	3.09	0.93		0.80
339-U1385D	339-U1385D-15H-4,83-84	144.46	1279.60	1278.32	1278.27	3.08	0.85		0.76
339-U1385D	339-U1385D-15H-4,84-85	144.47	1279.68	1278.39	1278.33	3.13	0.90		0.73
339-U1385D	339-U1385D-15H-4,85-86	144.48	1279.76	1278.46	1278.40	3.12	0.93		0.78
339-U1385D	339-U1385D-15H-4,86-87	144.49	1279.84	1278.53	1278.46	3.08	0.81		0.76
339-U1385D	339-U1385D-15H-4,87-88	144.50	1279.91	1278.60	1278.53	3.21	0.90		0.60
339-U1385D	339-U1385D-15H-4,88-89	144.51	1279.99	1278.67	1278.59	3.25	0.90		0.74
339-U1385D	339-U1385D-15H-4,89-90	144.52	1280.07	1278.74	1278.66	3.19	1.01		0.69
339-U1385D	339-U1385D-15H-4,90-91	144.53	1280.15	1278.81	1278.72	2.91	0.82		0.64
339-U1385D	339-U1385D-15H-4,91-92	144.54	1280.22	1278.88	1278.79	3.16	0.94		0.86
339-U1385D	339-U1385D-15H-4,92-93	144.55	1280.30	1278.95	1278.85	3.09	0.86		0.70
339-U1385D	339-U1385D-15H-4,93-94	144.56	1280.38	1279.02	1278.92	3.22	0.88		0.59
339-U1385D	339-U1385D-15H-4,94-95	144.57	1280.46	1279.09	1278.99	3.17	0.81		0.64
339-U1385D	339-U1385D-15H-4,95-96	144.58	1280.53	1279.16	1279.05	2.49	0.55		0.62
339-U1385D	339-U1385D-15H-4,96-97	144.59	1280.61	1279.22	1279.12	3.05	0.90		0.62
339-U1385D	339-U1385D-15H-4,97-98	144.60	1280.69	1279.29	1279.18	2.86	0.82		0.64
339-U1385D	339-U1385D-15H-4,98-99	144.61	1280.77	1279.36	1279.25	2.99	0.71		0.79
339-U1385D	339-U1385D-15H-4,99-100	144.62	1280.84	1279.43	1279.31	3.08	0.94		0.71
339-U1385D	339-U1385D-15H-4,100-101	144.63	1280.92	1279.50	1279.38				0.64
339-U1385D	339-U1385D-15H-4,101-102	144.64	1281.00	1279.57	1279.44	3.15	0.72		0.62
339-U1385D	339-U1385D-15H-4,102-103	144.65	1281.13	1279.64	1279.51	2.97	0.44		0.81
339-U1385D	339-U1385D-15H-4,103-104	144.66	1281.25	1279.71	1279.57	2.92	0.90		0.52
339-U1385D	339-U1385D-15H-4,104-105	144.67	1281.38	1279.78	1279.64	2.84	0.60		0.48
339-U1385D	339-U1385D-15H-4,105-106	144.68	1281.51	1279.85	1279.70	2.96	0.69		0.73
339-U1385D	339-U1385D-15H-4,106-107	144.69	1281.63	1279.92	1279.77	3.11	0.86		0.72
339-U1385D	339-U1385D-15H-4,107-108	144.70	1281.76	1279.99	1279.83				0.57
339-U1385D	339-U1385D-15H-4,108-109	144.71	1281.89	1280.06	1279.90	3.14	0.75		0.58
339-U1385D	339-U1385D-15H-4,109-110	144.72	1282.01	1280.13	1280.03	2.91	0.82		0.59
339-U1385D	339-U1385D-15H-4,110-111	144.73	1282.14	1280.20	1280.17	3.17	0.75		0.58
339-U1385D	339-U1385D-15H-4,111-112	144.74	1282.27	1280.27	1280.30	3.04	0.80		0.56
339-U1385D	339-U1385D-15H-4,112-113	144.75	1282.40	1280.34	1280.44	3.15	0.78		0.76
339-U1385D	339-U1385D-15H-4,113-114	144.76	1282.52	1280.41	1280.57	3.08	0.77		0.67
339-U1385D	339-U1385D-15H-4,114-115	144.77	1282.65	1280.47	1280.71	3.24	0.74		0.60
339-U1385D	339-U1385D-15H-4,115-116	144.78	1282.78	1280.54	1280.84	2.88	0.71		0.75
339-U1385D	339-U1385D-15H-4,116-117	144.79	1282.90	1280.61	1280.98	2.99	0.69		0.64
339-U1385D	339-U1385D-15H-4,117-118	144.80	1283.03	1280.68	1281.11	2.87	0.72		0.54
339-U1385D	339-U1385D-15H-4,118-119	144.81	1283.16	1280.75	1281.25	2.96	0.75		0.52
339-U1385D	339-U1385D-15H-4,119-120	144.82	1283.28	1280.82	1281.38	3.21	0.85		0.64
339-U1385D	339-U1385D-15H-4,120-121	144.83	1283.41	1280.89	1281.52	3.03	0.67		0.62
339-U1385D	339-U1385D-15H-4,121-122	144.84	1283.54	1280.96	1281.65	3.05	0.58		0.49
339-U1385D	339-U1385D-15H-4,122-123	144.85	1283.66	1281.03	1281.79	3.05	0.75		0.57
339-U1385D	339-U1385D-15H-4,123-124	144.86	1283.79	1281.10	1281.92	3.20	0.72		0.66
339-U1385D	339-U1385D-15H-4,124-125	144.87	1283.92	1281.20	1282.06	3.10	0.62		0.56
339-U1385D	339-U1385D-15H-4,125-126	144.88	1284.04	1281.29	1282.19	3.19	0.72		0.56
339-U1385D	339-U1385D-15H-4,126-127	144.89	1284.17	1281.39	1282.33	3.24	0.70		0.53
339-U1385D	339-U1385D-15H-4,127-128	144.90	1284.30	1281.48	1282.46	2.99	0.62		0.59
339-U1385D	339-U1385D-15H-4,128-129	144.91	1284.42	1281.58	1282.60	2.98	0.59		0.62
339-U1385D	339-U1385D-15H-4,129-130	144.92	1284.55	1281.68	1282.73	3.06	0.73		0.66
339-U1385D	339-U1385D-15H-4,130-131	144.93	1284.68	1281.77	1282.87	3.13	0.69		0.83
339-U1385D	339-U1385D-15H-4,131-132	144.94	1284.81	1281.87	1283.00	3.34	0.39		0.47
339-U1385D	339-U1385D-15H-4,132-133	144.95	1284.93	1281.97	1283.14	3.05	0.58		0.68
339-U1385D	339-U1385D-15H-4,133-134	144.96	1285.06	1282.06	1283.27	3.10	0.59		0.65
339-U1385D	339-U1385D-15H-4,134-135	144.97	1285.19	1282.16	1283.40	3.04	0.59		0.65
339-U1385D	339-U1385D-15H-4,135-136	144.98	1285.31	1282.25	1283.54	2.85	0.78		0.69
339-U1385D	339-U1385D-15H-4,136-137	144.99	1285.44	1282.35	1283.67	2.97	0.73		0.58
339-U1385D	339-U1385D-15H-4,137-138	145.00	1285.57	1282.45	1283.81	3.08	0.73		0.80
339-U1385D	339-U1385D-15H-4,138-139	145.01	1285.69	1282.54	1283.94	3.19	0.49		0.79
339-U1385D	339-U1385D-15H-4,139-140	145.02	1285.82	1282.64	1284.08	3.29	0.37		0.93
339-U1385D	339-U1385D-15H-4,140-141	145.03	1285.95	1282.74	1284.21	2.92	0.47		0.88
339-U1385D	339-U1385D-15H-4,141-142	145.04	1286.07	1282.83	1284.35	3.27	0.51		0.87
339-U1385D	339-U1385D-15H-4,142-143	145.05	1286.20	1282.93	1284.48	3.30	0.56		0.72
339-U1385D	339-U1385D-15H-4,143-144	145.06	1286.33	1283.02	1284.62	3.40	0.57		0.88
339-U1385D	339-U1385D-15H-4,144-145	145.07	1286.45	1283.12	1284.75	3.23	0.46		0.85
339-U1385D	339-U1385D-15H-4,145-146	145.08	1286.58	1283.22	1284.89	3.22	0.51		0.79
339-U1385D	339-U1385D-15H-4,146-147	145.09	1286.71	1283.31	1285.02	3.18	0.47		0.83
339-U1385D	339-U1385D-15H-4,147-148	145.10	1286.83	1283.41	1285.16	3.56	0.72		0.71
339-U1385D	339-U1385D-15H-4,148-149	145.11	1286.96	1283.51	1285.29	3.39	0.41		0.78
339-U1385D	339-U1385D-15H-4,149-150	145.12	1287.09	1283.60	1285.43	3.36	0.68		0.87
339-U1385D	339-U1385D-15H-4,150-151	145.13	1287.22	1283.70	1285.56	3.55	0.58		0.85
339-U1385D	339-U1385D-15H-4,151-152	145.14	1287.34	1283.79	1285.70	3.55	0.43		0.77
339-U1385D	339-U1385D-15H-5,0-1	145.15	1287.47	1283.89	1285.83	3.43	0.45		0.68
339-U1385D	339-U1385D-15H-5,1-2	145.16	1287.60	1283.99	1285.97	3.49	0.19		0.93
339-U1385D	339-U1385D-15H-5,2-3	145.17	1287.72	1284.08	1286.10	3.69	0.56		0.85
339-U1385D	339-U1385D-15H-5,3-4	145.18	1287.85	1284.18	1286.24	3.52	0.29		0.85
339-U1385D	339-U1385D-15H-5,4-5	145.19	1287.98	1284.28	1286.37	3.65	0.34		0.86
339-U1385D	339-U1385D-15H-5,5-6	145.20	1288.10	1284.37	1286.51	3.63	0.27		0.96
339-U1385D	339-U1385D-15H-5,6-7	145.21	1288.23	1284.47	1286.64	3.65	0.63		0.79
339-U1385D	339-U1385D-15H-5,7-8	145.22	1288.36	1284.56	1286.77	3.55	0.60		0.92
339-U1385D	339-U1385D-15H-5,8-9	145.23	1288.48	1284.66	1286.91				0.79
339-U1385D	339-U1385D-15H-5,9-10	145.24	1288.61	1284.76	1287.04	3.44	0.66		0.87
339-U1385D	339-U1385D-15H-5,10-11	145.25	1288.74	1284.85	1287.18	3.48	0.62		1.22
339-U1385D	339-U1385D-15H-5,11-12	145.26	1288.86	1284.95	1287.31	3.78	0.39		1.07
339-U1385D	339-U1385D-15H-5,12-13	145.27	1288.99	1285.04	1287.45	3.29	0.39		1.25
339-U1385D	339-U1385D-15H-5,13-14	145.28	1289.12	1285.14	1287.58	3.39	0.25		1.04
339-U1385D	339-U1385D-15H-5,14-15	145.29	1289.24	1285.24	1287.72	3.41	0.34		1.14
339-U1385D	339-U1385D-15H-5,15-16	145.30	1289.37	1285.33	1287.85				0.95
339-U1385D	339-U1385D-15H-5,16-17	145.31	1289.50	1285.43	1287.99	3.32	0.33		1.05
339-U1385D	339-U1385D-15H-5,17-18	145.32	1289.63	1285.53	1288.12				1.12
339-U1385D	339-U1385D-15H-5,18-19	145.33	1289.75	1285.62	1288.26				1.08
339-U1385D	339-U1385D-15H-5,19-20	145.34	1289.88	1285.72	1288.39	3.34	0.52		0.90
339-U1385D	339-U1385D-15H-5,20-21	145.35	1290.01	1285.81	1288.53	3.56	0.46		0.94
339-U1385D	339-U1385D-15H-5,21-22	145.36	1290.13	1285.91	1288.66	3.74	0.39		1.37
339-U1385D	339-U1385D-15H-5,22-23	145.37	1290.26	1286.01	1288.80	3.50	0.23		1.08
339-U1385D	339-U1385D-15H-5,23-24	145.38	1290.39	1286.10	1288.93	3.24	0.31		1.12
339-U1385D	339-U1385D-15H-5,24-25	145.39	1290.51	1286.20	1289.07				1.12
339-U1385D	339-U1385D-15H-5,25-26	145.40	1290.64	1286.30	1289.20	3.45	0.20		0.96
