Event	Sample label	Depth corr cr [crmcd]	Age [ka BP]	Age opt [ka] (Option 1: insolation-tuned ag...)	Age opt [ka] (Option 2: Mediterranean-tuned...)	C. wuellerstorfi d18O [per mil PDB]	C. wuellerstorfi d13C [per mil PDB]	C. mundulus d18O [per mil PDB]	G. bulloides d18O [per mil PDB]
339-U1385D	339-U1385D-15H-2,145-146	142.02	1260.62	1260.82	1262.04			3.71	1.74
339-U1385D	339-U1385D-15H-2,146-147	142.03	1260.75	1260.95	1262.15	3.88	0.44		1.80
339-U1385D	339-U1385D-15H-2,147-148	142.04	1260.83	1261.08	1262.27	3.80	0.21		1.32
339-U1385D	339-U1385D-15H-2,148-149	142.05	1260.91	1261.21	1262.38				1.66
339-U1385D	339-U1385D-15H-2,149-150	142.06	1260.98	1261.35	1262.49	3.81	0.42		1.64
339-U1385D	339-U1385D-15H-2,150-151	142.07	1261.06	1261.48	1262.61			3.90	1.38
339-U1385D	339-U1385D-15H-2,151-152	142.08	1261.14	1261.61	1262.72	3.88	0.69		1.36
339-U1385D	339-U1385D-15H-2,152-153	142.09	1261.22	1261.74	1262.79				1.27
339-U1385D	339-U1385D-15H-3,0-1	142.10	1261.29	1261.87	1262.85	3.90	0.52		1.30
339-U1385D	339-U1385D-15H-3,1-2	142.11	1261.37	1262.00	1262.92	3.80	0.48		1.19
339-U1385D	339-U1385D-15H-3,2-3	142.12	1261.45	1262.07	1262.98	3.82	0.55		1.14
339-U1385D	339-U1385D-15H-3,3-4	142.13	1261.53	1262.14	1263.05	3.86	0.46		1.08
339-U1385D	339-U1385D-15H-3,4-5	142.14	1261.60	1262.21	1263.11	3.80	0.51		1.19
339-U1385D	339-U1385D-15H-3,5-6	142.15	1261.68	1262.28	1263.18	3.69	0.64		1.36
339-U1385D	339-U1385D-15H-3,6-7	142.16	1261.76	1262.35	1263.24	3.76	0.59		1.32
339-U1385D	339-U1385D-15H-3,7-8	142.17	1261.84	1262.42	1263.31	3.69	0.45		1.40
339-U1385D	339-U1385D-15H-3,8-9	142.18	1261.91	1262.49	1263.37	3.74	0.60		1.12
339-U1385D	339-U1385D-15H-3,9-10	142.19	1261.99	1262.56	1263.44	3.64	0.63		1.25
339-U1385D	339-U1385D-15H-3,10-11	142.20	1262.07	1262.63	1263.50	3.70	0.57		0.99
339-U1385D	339-U1385D-15H-3,11-12	142.21	1262.15	1262.69	1263.57	3.60	0.65		1.34
339-U1385D	339-U1385D-15H-3,12-13	142.22	1262.22	1262.76	1263.63	3.47	0.53		0.88
339-U1385D	339-U1385D-15H-3,13-14	142.23	1262.30	1262.83	1263.70	3.54	0.63		0.91
339-U1385D	339-U1385D-15H-3,14-15	142.24	1262.38	1262.90	1263.77	3.51	0.60		0.73
339-U1385D	339-U1385D-15H-3,15-16	142.25	1262.46	1262.97	1263.83	3.42	0.47		1.01
339-U1385D	339-U1385D-15H-3,16-17	142.26	1262.53	1263.04	1263.90	3.61	0.52		1.00
339-U1385D	339-U1385D-15H-3,17-18	142.27	1262.61	1263.11	1263.96	3.61	0.51		1.28
339-U1385D	339-U1385D-15H-3,18-19	142.28	1262.69	1263.18	1264.03	3.61	0.56		1.14
339-U1385D	339-U1385D-15H-3,19-20	142.29	1262.77	1263.25	1264.09	3.43	0.25		1.91
339-U1385D	339-U1385D-15H-3,20-21	142.30	1262.84	1263.32	1264.16	3.44	0.40		1.85
339-U1385D	339-U1385D-15H-3,21-22	142.31	1262.92	1263.39	1264.22	3.08	0.91		2.10
339-U1385D	339-U1385D-15H-3,22-23	142.32	1263.00	1263.46	1264.29	3.51	0.24		1.88
339-U1385D	339-U1385D-15H-3,23-24	142.33	1263.08	1263.53	1264.35	3.48	0.25		1.80
339-U1385D	339-U1385D-15H-3,24-25	142.34	1263.16	1263.60	1264.42	3.64	-0.05		1.88
339-U1385D	339-U1385D-15H-3,25-26	142.35	1263.23	1263.67	1264.48	3.68	0.21		1.80
339-U1385D	339-U1385D-15H-3,26-27	142.36	1263.31	1263.74	1264.55	3.73	0.13		2.13
339-U1385D	339-U1385D-15H-3,27-28	142.37	1263.39	1263.81	1264.61	3.64	-0.07		2.07
339-U1385D	339-U1385D-15H-3,28-29	142.38	1263.47	1263.88	1264.68	3.65	0.03		2.07
339-U1385D	339-U1385D-15H-3,29-30	142.39	1263.54	1263.94	1264.75	3.72	0.15		1.95
339-U1385D	339-U1385D-15H-3,30-31	142.40	1263.62	1264.01	1264.81	3.69	0.07		1.95
339-U1385D	339-U1385D-15H-3,31-32	142.41	1263.70	1264.08	1264.88	3.62	-0.04		2.10
