Sample ID,Depth.m,Age.Ma,MgCa,B.Ca,d18O,d13C,notes
lear03_104,,0.20804,,,3.36,,
lear03_105,,0.20804,,,3.88,,
lear03_106,,0.20804,,,3.57,,
lear03_107,,0.22,,,3.96,,
lear03_108,,0.224,,,4.15,,
lear03_109,,0.228,,,4.14,,
lear03_110,,0.232,,,3.35,,
lear03_111,,0.236,,,3.42,,
lear03_112,,0.24,,,3.18,,
lear03_113,,0.244,,,4.02,,
lear03_114,,0.24689,,,3.78,,
lear03_115,,0.24689,,,3.6,,
lear03_116,,0.248,,,4.37,,
lear03_117,,0.252,,,4.31,,
lear03_118,,0.256,,,4.2,,
lear03_119,,0.259,,,4.25,,
lear03_120,,0.263,,,4.16,,
lear03_121,,0.267,,,4.29,,
lear03_122,,0.2676,,,3.43,,
lear03_123,,0.2676,,,3.89,,
lear03_124,,0.2676,,,3.88,,
lear03_125,,0.273,,,3.92,,
lear03_126,,0.278,,,3.61,,
lear03_127,,0.284,,,3.58,,
lear03_128,,0.29,,,3.47,,
lear03_129,,0.296,,,4.04,,
lear03_130,,0.318,,,3.6,,
lear03_131,,0.325,,,3.05,,
lear03_132,,0.333,,,3.31,,
lear03_133,,0.34,,,4.07,,
lear03_134,,0.344,,,3.64,,
lear03_135,,0.349,,,4.14,,
lear03_136,,0.353,,,4.33,,
lear03_137,,0.356,,,4.23,,
lear03_138,,0.36,,,4.11,,
lear03_139,,0.363,,,3.88,,
lear03_140,,0.366,,,4.07,,
lear03_141,,0.372,,,4.03,,
lear03_142,,0.378,,,4.03,,
lear03_143,,0.384,,,3.92,,
lear03_144,,0.389,,,3.48,,
lear03_145,,0.395,,,3.54,,
lear03_146,,0.401,,,3.24,,
lear03_147,,0.406,,,3.14,,
lear03_148,,0.412,,,3.1,,
lear03_149,,0.418,,,3.03,,
lear03_150,,0.42,,,4.46,,
lear03_151,,0.423,,,3.62,,
lear03_152,,0.425,,,3.73,,
lear03_153,,0.428,,,4.65,,
lear03_154,,0.431,,,4.67,,
lear03_155,,0.436,,,4.57,,
lear03_156,,0.441,,,4.27,,
lear03_157,,0.445,,,4.43,,
lear03_158,,0.45,,,4.25,,
lear03_159,,0.454,,,4.11,,
lear03_160,,0.46,,,4.15,,
lear03_161,,0.464,,,4.2,,
lear03_162,,0.469,,,4.61,,
lear03_163,,0.474,,,4.14,,
lear03_164,,0.478,,,4.02,,
lear03_165,,0.483,,,3.63,,
lear03_166,,0.488,,,3.28,,
lear03_167,,0.492,,,3.57,,
lear03_168,,0.497,,,3.64,,
lear03_169,,0.502,,,3.75,,
lear03_170,,0.506,,,3.64,,
lear03_171,,0.511,,,3.98,,
lear03_172,,0.516,,,3.89,,
lear03_173,,0.521,,,3.75,,
lear03_174,,0.525,,,3.7,,
lear03_175,,0.531,,,3.92,,
lear03_176,,0.536,,,3.77,,
lear03_177,,0.541,,,4.33,,
lear03_178,,0.545,,,4.18,,
lear03_179,,0.55,,,4.29,,
lear03_180,,0.554,,,4.06,,
lear03_181,,0.558,,,3.99,,
lear03_182,,0.562,,,3.83,,
lear03_183,,0.567,,,3.6,,
lear03_184,,0.571,,,3.58,,
lear03_185,,0.575,,,3.59,,
lear03_186,,0.577,,,3.11,,
lear03_187,,0.578,,,3.32,,
lear03_188,,0.58,,,3.8,,
lear03_189,,0.583,,,4.13,,
lear03_190,,0.587,,,3.98,,
lear03_191,,0.592,,,3.67,,
lear03_192,,0.596,,,3.6,,
lear03_193,,0.601,,,3.85,,
lear03_194,,0.605,,,3.49,,
lear03_195,,0.61,,,3.73,,
lear03_196,,0.614,,,3.62,,
lear03_197,,0.619,,,3.25,,
lear03_198,,0.623,,,4.42,,
lear03_199,,0.627,,,4.83,,
lear03_200,,0.631,,,4.28,,
lear03_201,,0.635,,,4.78,,
lear03_202,,0.638,,,4.56,,
lear03_203,,0.642,,,4.36,,
lear03_204,,0.646,,,4.16,,
lear03_205,,0.649,,,4.26,,
lear03_206,,0.653,,,4.29,,
lear03_207,,0.657,,,4.25,,
lear03_208,,0.66,,,4.25,,
lear03_209,,0.664,,,4.12,,
lear03_210,,0.668,,,4.03,,
lear03_211,,0.671,,,3.92,,
lear03_212,,0.675,,,4.07,,
lear03_213,,0.685,,,3.36,,
lear03_214,,0.694,,,3.36,,
lear03_215,,0.705,,,3.55,,
lear03_216,,0.715,,,3.86,,
lear03_217,,0.725,,,3.83,,
lear03_218,,0.734,,,3.99,,
lear03_219,,0.745,,,4.28,,
lear03_220,,0.755,,,4.38,,
lear03_221,,0.757,,,4.3,,
lear03_222,,0.761,,,3.93,,
lear03_223,,0.763,,,3.99,,
lear03_224,,0.766,,,4.11,,
lear03_225,,0.768,,,4.12,,
lear03_226,,0.83864,,,3.74,,
lear03_227,,0.83864,,,3.68,,
lear03_228,,0.93359,,,3.85,,
lear03_229,,0.93359,,,3.89,,
lear03_230,,0.93359,,,3.8,,
lear03_231,,1.0303,,,3.58,,
lear03_232,,1.0303,,,3.29,,
lear03_233,,1.0303,,,3.55,,
lear03_234,,1.1192,,,3.4,,
lear03_235,,1.1192,,,3.71,,
lear03_236,,1.2167,,,3.67,,
lear03_237,,1.2167,,,3.43,,
lear03_238,,1.2167,,,3.41,,
lear03_239,,1.3479,,,3.38,,
lear03_240,,1.3479,,,3.5,,
lear03_241,,1.3479,,,3.46,,
lear03_242,,1.4403,,,3.54,,
lear03_243,,1.4403,,,3.56,,
lear03_244,,1.4403,,,3.5,,
lear03_245,,1.5396,,,3.86,,
lear03_246,,1.5396,,,3.73,,
lear03_247,,1.9276,,,3.75,,
lear03_248,,1.9276,,,3.31,,
lear03_249,,2.2108,,,3.63,,
lear03_250,,2.2108,,,3.73,,
lear03_251,,2.2108,,,3.91,,
lear03_252,,2.4887,,,3.69,,
lear03_253,,2.4887,,,3.23,,
lear03_254,,2.4887,,,3.19,,
lear03_255,,2.774,,,3.64,,
lear03_256,,2.774,,,3.24,,
lear03_257,,2.774,,,3.46,,
lear03_258,,3.1491,,,3.28,,
lear03_259,,3.1491,,,2.7,,
lear03_260,,3.4391,,,3.33,,
lear03_261,,3.4391,,,3.61,,
lear03_262,,3.7206,,,3.4,,
lear03_263,,3.795,,,2.81,,
lear03_264,,3.795,,,3.36,,
lear03_265,,3.795,,,3.18,,
lear03_266,,3.9601,,,2.88,,
lear03_267,,3.9601,,,3.25,,
lear03_268,,3.9601,,,3.08,,
lear03_269,,3.9994,,,2.78,,
lear03_270,,3.9994,,,3.21,,
lear03_271,,3.9994,,,2.86,,
lear03_272,,4.2751,,,3.08,,
lear03_273,,4.2751,,,2.87,,
lear03_274,,4.3696,,,3.18,,
lear03_275,,4.6079,,,3.16,,
lear03_276,,4.6079,,,3.14,,
lear03_277,,4.8492,,,2.88,,
lear03_278,,5.0905,,,2.9,,
