Age_ka,MgCa,Species,d18O,BWT,d18O_sw
1301.22,0.969,C. wuellerstorfi,4.28,-0.3,0.25
1301.81,1.156,C. wuellerstorfi,3.9,1.6,0.34
1303.99,1.14,U. peregrina,4.35,1.4,0.75
1304.97,1.036,U. peregrina,4.24,0.4,0.37
1305.04,1.224,U. peregrina,4.17,2.2,0.78
1305.96,1.168,U. peregrina,4.1,1.7,0.56
1305.96,1.071,U. peregrina,4.06,0.7,0.29
1306.89,1.007,U. peregrina,4.1,0.1,0.16
1307.02,1.018,U. peregrina,4.18,0.2,0.27
1308.14,1.159,C. wuellerstorfi,4.13,1.6,0.57
1309.26,1.087,C. wuellerstorfi,3.88,0.9,0.14
1310.38,1.287,C. wuellerstorfi,3.67,2.9,0.43
1311.5,1.526,C. wuellerstorfi,3.79,5.3,1.15
1312.36,1.235,C. wuellerstorfi,4.2,2.3,0.83
1314.14,1.198,C. wuellerstorfi,3.96,2,0.5
1315.12,1.178,C. wuellerstorfi,3.7,1.8,0.19
1316.15,1.334,C. wuellerstorfi,3.64,3.3,0.52
1317.18,1.467,C. wuellerstorfi,3.57,4.7,0.78
