Age_ka,d18O,d13C,MgCa
1471.6,3.92,-0.21,1.095
1473.2,3.54,0.04,1.031
1474.9,3.66,-0.16,1.145
1476.5,3.53,-0.12,1.034
1478.1,3.55,-0.02,1.110
1479.7,3.38,-0.08,1.007
1481.3,3.53,-0.08,1.212
1482.9,3.51,-0.21,1.123
1484.6,3.52,-0.21,1.078
1486.2,3.55,-0.35,1.090
1487.8,3.93,-0.61,1.222
1489.4,3.90,-0.44,1.149
1491.0,4.27,-0.63,1.106
1492.6,4.16,-0.61,1.019
1494.3,4.52,-0.88,1.092
1495.9,4.45,-0.93,1.000
1497.5,4.40,-0.95,0.942
1499.1,4.41,-0.95,1.027
1500.7,4.18,-0.48,0.937
1502.3,3.94,0.00,
1504.0,4.05,-0.27,1.231
1505.6,4.07,-0.40,1.124
1507.2,4.33,-0.67,1.054
1508.8,4.10,-0.40,1.122
1510.4,4.12,-0.50,1.235
1512.0,4.31,-0.83,1.043
1513.7,3.92,-0.45,1.229
1515.3,3.95,,1.129
1516.9,4.18,-0.59,1.072
1518.5,3.99,-0.44,1.062
1520.1,4.15,-0.44,1.062
1521.7,4.18,-0.78,1.104
1523.3,4.30,-0.70,1.018
1525.0,4.18,-0.57,1.094
1526.6,4.20,-0.71,1.367
1528.2,4.24,-0.52,1.074
1529.8,4.29,-0.59,1.105
1531.4,4.06,-0.58,1.052
1533.0,3.94,-0.42,1.029
1534.7,4.26,-0.62,1.059
1536.3,3.97,-0.58,1.042
1537.9,4.14,-0.59,1.141
1539.5,4.11,-0.53,0.956
1541.1,3.79,-0.39,1.097
1542.7,4.14,-0.62,1.108
1544.4,4.26,-0.39,1.074
1546.0,4.36,-0.77,0.997
