Age_ka,d18O,d13C,MgCa
197.4,4.62,-1.01,0.909
197.7,4.10,-1.01,1.004
198.2,4.14,-0.91,0.974
198.7,4.10,-0.82,0.967
199.9,3.70,-0.90,1.033
200.2,3.97,-0.76,1.022
200.7,3.91,-0.98,1.009
201.2,3.83,-0.64,0.945
202.0,3.79,-0.77,1.159
202.7,3.81,-0.67,1.055
203.2,3.77,-0.76,1.314
203.7,3.95,-0.76,1.113
205.3,3.57,-0.64,1.170
205.8,3.53,-0.72,1.027
207.3,3.61,-0.67,1.238
207.8,3.62,-0.75,1.221
208.3,3.65,-0.70,1.115
208.8,3.71,-0.71,1.152
209.3,4.62,-1.10,1.071
210.3,3.66,-0.62,1.162
210.8,3.71,-0.71,1.149
211.3,4.06,-0.69,1.100
211.9,3.93,-0.57,1.020
212.4,3.90,-0.54,1.083
212.9,3.72,-0.42,1.092
213.4,3.78,-0.53,1.103
213.9,3.71,-0.58,1.232
214.4,3.78,-0.43,1.117
214.9,3.76,-0.47,1.089
215.4,3.54,-0.43,1.150
215.9,3.66,-0.59,1.102
216.4,,,1.212
216.9,3.86,-0.75,1.204
217.4,3.98,-0.67,1.181
217.9,3.56,-0.27,
218.4,3.91,-0.66,1.164
218.9,4.07,-0.94,1.143
219.7,,,1.129
220.5,4.25,-1.10,
221.0,4.42,-0.83,1.025
221.5,4.50,-0.89,1.067
222.2,,,1.219
223.0,4.59,-0.85,1.144
223.5,4.55,-1.11,0.994
224.1,4.45,-1.19,1.073
225.1,4.55,-1.03,1.144
225.4,4.54,-0.99,1.101
225.9,4.65,-1.11,0.950
226.4,4.30,-0.89,0.941
227.0,4.54,-1.21,1.061
228.3,4.32,-0.95,1.108
228.8,4.99,-0.93,0.982
229.3,4.41,-1.13,1.010
229.9,4.58,-1.14,1.093
230.4,4.45,-1.00,0.968
230.9,4.35,-0.89,1.138
231.4,4.01,-0.99,1.126
232.0,4.40,-0.88,0.943
232.5,3.96,-0.79,1.002
233.0,4.13,-0.90,0.980
233.5,3.87,-0.90,1.127
234.1,4.24,-0.90,1.031
234.6,4.01,-0.92,1.073
235.4,,,1.135
236.2,3.82,-0.60,
236.7,3.72,-0.80,1.043
237.2,3.76,-0.89,1.199
237.8,3.87,-0.71,1.159
238.3,3.63,-0.78,1.089
238.8,,,1.224
239.1,3.56,-0.78,1.275
239.6,,,1.216
240.1,3.60,-0.94,1.206
241.5,3.42,-0.28,
242.0,3.75,-0.07,1.384
242.5,4.00,-0.85,1.269
244.1,3.60,-0.35,
246.7,4.63,-1.09,0.846
247.3,4.61,-1.27,0.893
248.3,4.65,-0.95,0.933
248.8,4.62,-0.96,0.784
249.4,4.82,-0.97,0.868
249.9,4.66,-1.18,0.926
250.4,4.77,-0.99,0.834
250.9,4.81,-1.14,0.805
251.7,4.60,-0.91,
252.0,4.86,-1.14,
252.4,4.59,-0.93,0.863
252.8,4.72,-0.90,0.782
253.1,4.44,-0.93,0.929
253.5,4.70,-1.08,0.812
253.9,4.68,-1.12,0.854
254.3,4.46,-0.91,0.901
254.7,4.26,-1.03,
255.0,3.87,-0.57,
255.6,3.79,-0.51,
255.8,4.76,-1.20,
256.2,4.38,-0.95,
256.5,4.66,-1.16,
257.7,4.69,-1.19,
258.1,4.51,-1.02,1.112
258.4,4.57,-1.03,
259.6,4.84,-1.21,
260.0,4.80,-1.18,
260.3,4.34,-1.18,
260.7,4.50,-1.12,0.909
261.1,4.72,-1.20,0.965
261.5,4.89,-1.33,
261.9,4.36,-0.87,
262.6,4.89,-1.20,
263.4,4.78,-1.31,
264.7,4.92,-1.30,
265.1,4.82,-1.38,
265.6,,,1.009
266.4,4.30,-0.99,0.896
268.1,4.76,-1.28,
268.5,4.10,-1.03,
268.9,,,1.186
269.2,,,1.141
270.0,4.50,-0.87,
270.2,4.80,-1.10,
270.8,,,1.044
271.5,4.06,-1.19,1.131
271.9,,,0.872
272.1,4.45,-1.16,
272.6,,,0.961
278.0,4.19,-0.77,
278.1,4.31,-0.76,
278.7,,,0.884
279.1,4.23,-1.00,0.912
