ID,Age_ka,d18O,MgCa
"339-U1385D-15H-2,24-25",1244.58,2.6,
"339-U1385D-15H-2,25-26",1244.71,2.33,
"339-U1385D-15H-2,25-26",1244.71,,1.305
"339-U1385D-15H-2,26-27",1244.84,2.78,
"339-U1385D-15H-2,27-28",1244.98,2.52,
"339-U1385D-15H-2,28-29",1245.11,3.03,
"339-U1385D-15H-2,29-30",1245.24,2.93,
"339-U1385D-15H-2,30-31",1245.37,2.55,
"339-U1385D-15H-2,30-31",1245.37,,1.368
"339-U1385D-15H-2,31-32",1245.51,2.71,
"339-U1385D-15H-2,32-33",1245.64,2.55,
"339-U1385D-15H-2,33-34",1245.77,2.95,
"339-U1385D-15H-2,3-4",1241.8,2.78,
"339-U1385D-15H-2,34-35",1245.9,,1.404
"339-U1385D-15H-2,35-36",1246.04,2.73,
"339-U1385D-15H-2,35-36",1246.04,,1.469
"339-U1385D-15H-2,36-37",1246.17,3.03,
"339-U1385D-15H-2,37-38",1246.3,3.29,
"339-U1385D-15H-2,38-39",1246.43,3.25,
"339-U1385D-15H-2,39-40",1246.57,3.18,
"339-U1385D-15H-2,39-40",1246.57,,1.204
"339-U1385D-15H-2,41-42",1246.83,,1.24
"339-U1385D-15H-2,43-44",1247.1,3.72,
"339-U1385D-15H-2,44-45",1247.23,3.56,
"339-U1385D-15H-2,4-5",1241.93,2.77,
"339-U1385D-15H-2,45-46",1247.36,3.27,
"339-U1385D-15H-2,45-46",1247.36,,1.131
"339-U1385D-15H-2,46-47",1247.49,3.33,
"339-U1385D-15H-2,49-50",1247.89,3.83,
"339-U1385D-15H-2,50-51",1248.03,3.7,
"339-U1385D-15H-2,51-52",1248.16,,1.269
"339-U1385D-15H-2,55-56",1248.69,3.71,
"339-U1385D-15H-2,55-56",1248.69,,1.139
"339-U1385D-15H-2,5-6",1242.06,2.71,
"339-U1385D-15H-2,5-6",1242.06,,1.324
"339-U1385D-15H-2,5-6",1242.06,,1.271
"339-U1385D-15H-2,57-58",1248.95,3.88,
"339-U1385D-15H-2,59-60",1249.22,,1.144
"339-U1385D-15H-2,61-62",1249.48,,1.169
"339-U1385D-15H-2,62-63",1249.62,3.79,
"339-U1385D-15H-2,63-64",1249.75,3.93,
"339-U1385D-15H-2,64-65",1249.88,3.72,
"339-U1385D-15H-2,65-66",1250.01,3.88,
"339-U1385D-15H-2,65-66",1250.01,,1.106
"339-U1385D-15H-2,66-67",1250.15,3.82,
"339-U1385D-15H-2,6-7",1242.19,2.71,
"339-U1385D-15H-2,69-70",1250.54,3.79,
"339-U1385D-15H-2,70-71",1250.68,3.8,
"339-U1385D-15H-2,70-71",1250.68,,1.115
"339-U1385D-15H-2,71-72",1250.81,3.9,
"339-U1385D-15H-2,73-74",1251.07,3.99,
"339-U1385D-15H-2,74-75",1251.21,3.99,
"339-U1385D-15H-2,76-77",1251.47,3.95,
"339-U1385D-15H-2,76-77",1251.47,,1.196
"339-U1385D-15H-2,7-8",1242.33,2.8,
"339-U1385D-15H-2,78-79",1251.74,3.79,
"339-U1385D-15H-2,79-80",1251.87,3.89,
"339-U1385D-15H-2,80-81",1252,3.92,
"339-U1385D-15H-2,80-81",1252,,1.197
"339-U1385D-15H-2,81-82",1252.13,3.92,
"339-U1385D-15H-2,82-83",1252.27,4.08,
"339-U1385D-15H-2,83-84",1252.4,4.1,
"339-U1385D-15H-2,84-85",1252.53,3.99,
