ID,Age_ka,d18O,MgCa
"339-U1385D-15H-5,117-118",1300.36,3.33,
"339-U1385D-15H-5,118-119",1300.43,3.5,
"339-U1385D-15H-5,119-120",1300.49,3.59,
"339-U1385D-15H-5,1-2",1287.6,3.49,
"339-U1385D-15H-5,120-121",1300.56,3.63,
"339-U1385D-15H-5,121-122",1300.62,3.78,
"339-U1385D-15H-5,12-13",1288.99,3.29,
"339-U1385D-15H-5,122-123",1300.69,3.45,
"339-U1385D-15H-5,123-124",1300.76,3.76,
"339-U1385D-15H-5,124-125",1300.82,3.58,
"339-U1385D-15H-5,125-126",1300.89,3.46,
"339-U1385D-15H-5,126-127",1300.95,3.64,
"339-U1385D-15H-5,127-128",1301.02,3.41,
"339-U1385D-15H-5,128-129",1301.08,3.48,
"339-U1385D-15H-5,129-130",1301.15,3.58,
"339-U1385D-15H-5,130-131",1301.22,3.64,
"339-U1385D-15H-5,130-131",1301.22,,0.969
"339-U1385D-15H-5,131-132",1301.28,3.64,
"339-U1385D-15H-5,13-14",1289.12,3.39,
"339-U1385D-15H-5,132-133",1301.35,3.66,
"339-U1385D-15H-5,133-134",1301.41,3.47,
"339-U1385D-15H-5,134-135",1301.48,3.2,
"339-U1385D-15H-5,135-136",1301.55,3.4,
"339-U1385D-15H-5,136-137",1301.61,3.59,
"339-U1385D-15H-5,137-138",1301.68,3.43,
"339-U1385D-15H-5,139-140",1301.81,3.26,
"339-U1385D-15H-5,139-140",1301.81,,1.156
"339-U1385D-15H-5,140-141",1301.88,3.72,
"339-U1385D-15H-5,141-142",1301.94,3.38,
"339-U1385D-15H-5,14-15",1289.24,3.41,
"339-U1385D-15H-5,142-143",1302.01,3.22,
"339-U1385D-15H-5,143-144",1302.07,3.32,
"339-U1385D-15H-5,144-145",1302.14,3.4,
"339-U1385D-15H-5,145-146",1302.21,3.31,
"339-U1385D-15H-5,146-147",1302.27,3.5,
"339-U1385D-15H-5,147-148",1302.34,3.45,
"339-U1385D-15H-5,149-150",1302.47,3.33,
"339-U1385D-15H-5,150-151",1302.54,3.83,
"339-U1385D-15H-5,16-17",1289.5,3.32,
"339-U1385D-15H-5,16-17",1289.5,,1.333
"339-U1385D-15H-5,19-20",1289.88,3.34,
"339-U1385D-15H-5,20-21",1290.01,3.56,
"339-U1385D-15H-5,20-21",1290.01,,1.216
"339-U1385D-15H-5,21-22",1290.13,3.74,
"339-U1385D-15H-5,22-23",1290.26,3.5,
"339-U1385D-15H-5,2-3",1287.72,3.69,
"339-U1385D-15H-5,23-24",1290.39,3.24,
"339-U1385D-15H-5,25-26",1290.64,3.45,
"339-U1385D-15H-5,25-26",1290.64,,1.222
"339-U1385D-15H-5,27-28",1290.89,3.48,
"339-U1385D-15H-5,30-31",1291.27,3.66,
"339-U1385D-15H-5,30-31",1291.27,,1.086
"339-U1385D-15H-5,31-32",1291.4,3.53,
"339-U1385D-15H-5,33-34",1291.65,3.54,
"339-U1385D-15H-5,3-4",1287.85,3.52,
"339-U1385D-15H-5,34-35",1291.78,3.56,
"339-U1385D-15H-5,35-36",1291.91,3.58,
"339-U1385D-15H-5,35-36",1291.91,,1.14
"339-U1385D-15H-5,37-38",1292.16,3.59,
"339-U1385D-15H-5,38-39",1292.29,3.49,
"339-U1385D-15H-5,39-40",1292.42,3.62,
"339-U1385D-15H-5,40-41",1292.54,3.59,
"339-U1385D-15H-5,40-41",1292.54,,1.211
"339-U1385D-15H-5,41-42",1292.67,3.74,
"339-U1385D-15H-5,42-43",1292.8,3.58,
"339-U1385D-15H-5,43-44",1292.92,3.64,
"339-U1385D-15H-5,44-45",1293.05,3.52,
"339-U1385D-15H-5,4-5",1287.98,3.65,
"339-U1385D-15H-5,46-47",1293.3,3.61,
"339-U1385D-15H-5,46-47",1293.3,,1.071
"339-U1385D-15H-5,47-48",1293.43,3.36,
"339-U1385D-15H-5,48-49",1293.56,3.55,
"339-U1385D-15H-5,49-50",1293.68,3.38,
"339-U1385D-15H-5,50-51",1293.81,3.47,
"339-U1385D-15H-5,50-51",1293.81,,1.092
"339-U1385D-15H-5,51-52",1293.94,3.77,
"339-U1385D-15H-5,52-53",1294.06,3.61,
"339-U1385D-15H-5,53-54",1294.19,3.65,
"339-U1385D-15H-5,54-55",1294.32,3.8,
"339-U1385D-15H-5,55-56",1294.44,3.81,
"339-U1385D-15H-5,55-56",1294.44,,0.993
"339-U1385D-15H-5,55-56",1294.44,,1.035
"339-U1385D-15H-5,5-6",1288.1,3.63,
"339-U1385D-15H-5,5-6",1288.1,,1.148
"339-U1385D-15H-5,5-6",1288.1,,1.139
"339-U1385D-15H-5,5-6",1288.1,,1.16
"339-U1385D-15H-5,56-57",1294.57,3.42,
"339-U1385D-15H-5,57-58",1294.7,3.68,
"339-U1385D-15H-5,58-59",1294.83,3.43,
"339-U1385D-15H-5,59-60",1294.95,3.75,
"339-U1385D-15H-5,60-61",1295.08,3.84,
"339-U1385D-15H-5,60-61",1295.08,,1.047
"339-U1385D-15H-5,61-62",1295.21,3.89,
"339-U1385D-15H-5,63-64",1295.46,3.79,
"339-U1385D-15H-5,64-65",1295.59,3.96,
"339-U1385D-15H-5,65-66",1295.71,3.71,
"339-U1385D-15H-5,66-67",1295.84,3.74,
"339-U1385D-15H-5,66-67",1295.84,,0.919
"339-U1385D-15H-5,6-7",1288.23,3.65,
"339-U1385D-15H-5,67-68",1295.97,3.83,
"339-U1385D-15H-5,68-69",1296.09,3.76,
"339-U1385D-15H-5,69-70",1296.22,3.83,
"339-U1385D-15H-5,70-71",1296.35,3.68,
"339-U1385D-15H-5,70-71",1296.35,,1.103
"339-U1385D-15H-5,71-72",1296.47,3.8,
"339-U1385D-15H-5,72-73",1296.6,3.74,
"339-U1385D-15H-5,73-74",1296.73,3.73,
"339-U1385D-15H-5,74-75",1296.85,3.68,
"339-U1385D-15H-5,76-77",1297.11,3.82,
"339-U1385D-15H-5,76-77",1297.11,,1.112
"339-U1385D-15H-5,76-77",1297.11,,1.118
"339-U1385D-15H-5,77-78",1297.24,3.78,
"339-U1385D-15H-5,7-8",1288.36,3.55,
"339-U1385D-15H-5,78-79",1297.36,3.7,
"339-U1385D-15H-5,80-81",1297.62,3.73,
"339-U1385D-15H-5,80-81",1297.62,,1.119
"339-U1385D-15H-5,81-82",1297.74,3.6,
"339-U1385D-15H-5,83-84",1298,3.63,
"339-U1385D-15H-5,84-85",1298.12,3.65,
"339-U1385D-15H-5,85-86",1298.25,3.6,
"339-U1385D-15H-5,85-86",1298.25,,0.993
"339-U1385D-15H-5,85-86",1298.25,,1.044
"339-U1385D-15H-5,85-86",1298.25,,1.025
"339-U1385D-15H-5,87-88",1298.38,3.61,
"339-U1385D-15H-5,88-89",1298.45,3.82,
"339-U1385D-15H-5,89-90",1298.51,3.38,
"339-U1385D-15H-5,90-91",1298.58,3.71,
"339-U1385D-15H-5,90-91",1298.58,,1.401
"339-U1385D-15H-5,9-10",1288.61,3.44,
"339-U1385D-15H-5,91-92",1298.65,3.78,
"339-U1385D-15H-5,92-93",1298.71,3.7,
"339-U1385D-15H-5,93-94",1298.78,3.82,
"339-U1385D-15H-5,94-95",1298.84,3.92,
"339-U1385D-15H-5,95-96",1298.91,,0.986
"339-U1385D-15H-5,96-97",1298.98,3.88,
"339-U1385D-15H-5,97-98",1299.04,3.93,
"339-U1385D-15H-6,0-1",1302.73,3.76,
"339-U1385D-15H-6,11-12",1303.46,3.47,
"339-U1385D-15H-6,1-2",1302.8,3.76,
"339-U1385D-15H-6,12-13",1303.52,3.54,
"339-U1385D-15H-6,13-14",1303.59,3.64,
"339-U1385D-15H-6,14-15",1303.66,3.54,
"339-U1385D-15H-6,15-16",1303.72,3.42,
"339-U1385D-15H-6,16-17",1303.79,3.59,
"339-U1385D-15H-6,18-19",1303.92,3.54,
"339-U1385D-15H-6,19-20",1303.99,3.57,
"339-U1385D-15H-6,20-21",1304.05,3.95,
"339-U1385D-15H-6,20-21",1303.99,,1.14
"339-U1385D-15H-6,21-22",1304.12,3.55,
"339-U1385D-15H-6,2-3",1302.86,3.57,
"339-U1385D-15H-6,23-24",1304.25,3.69,
"339-U1385D-15H-6,25-26",1304.32,3.55,
"339-U1385D-15H-6,27-28",1304.45,3.39,
"339-U1385D-15H-6,28-29",1304.45,3.7,
"339-U1385D-15H-6,29-30",1304.51,3.57,
"339-U1385D-15H-6,30-31",1304.58,3.59,
"339-U1385D-15H-6,31-32",1304.64,3.58,
"339-U1385D-15H-6,32-33",1304.64,3.73,
"339-U1385D-15H-6,33-34",1304.71,3.76,
"339-U1385D-15H-6,3-4",1302.93,3.66,
"339-U1385D-15H-6,34-35",1304.78,3.65,
"339-U1385D-15H-6,35-36",1304.78,3.9,
"339-U1385D-15H-6,36-37",1304.84,3.75,
"339-U1385D-15H-6,37-38",1304.91,3.47,
"339-U1385D-15H-6,38-39",1304.97,3.58,
"339-U1385D-15H-6,39-40",1304.97,3.61,
"339-U1385D-15H-6,40-41",1305.04,3.5,
"339-U1385D-15H-6,40-41",1304.97,,1.036
"339-U1385D-15H-6,40-41",1305.04,,1.224
"339-U1385D-15H-6,41-42",1305.11,3.32,
"339-U1385D-15H-6,43-44",1305.17,3.5,
"339-U1385D-15H-6,44-45",1305.24,3.56,
"339-U1385D-15H-6,4-5",1303,3.65,
"339-U1385D-15H-6,45-46",1305.3,3.59,
"339-U1385D-15H-6,46-47",1305.3,3.62,
"339-U1385D-15H-6,47-48",1305.37,3.59,
"339-U1385D-15H-6,48-49",1305.44,3.4,
"339-U1385D-15H-6,49-50",1305.5,3.09,
"339-U1385D-15H-6,52-53",1305.63,3.67,
"339-U1385D-15H-6,54-55",1305.7,3.64,
"339-U1385D-15H-6,55-56",1305.77,3.54,
"339-U1385D-15H-6,5-6",1303.06,3.48,
"339-U1385D-15H-6,56-57",1305.83,3.36,
"339-U1385D-15H-6,57-58",1305.83,3.63,
"339-U1385D-15H-6,59-60",1305.96,2.92,
"339-U1385D-15H-6,60-61",1305.96,3.37,
"339-U1385D-15H-6,60-61",1305.96,,1.168
"339-U1385D-15H-6,60-61",1305.96,,1.071
"339-U1385D-15H-6,61-62",1306.03,3.24,
"339-U1385D-15H-6,62-63",1306.1,3.1,
"339-U1385D-15H-6,65-66",1306.23,3.59,
"339-U1385D-15H-6,6-7",1303.13,3.71,
"339-U1385D-15H-6,67-68",1306.36,3.53,
"339-U1385D-15H-6,70-71",1306.49,3.32,
"339-U1385D-15H-6,71-72",1306.49,3.39,
"339-U1385D-15H-6,72-73",1306.56,3.69,
"339-U1385D-15H-6,73-74",1306.62,2.8,
"339-U1385D-15H-6,74-75",1306.69,3.55,
"339-U1385D-15H-6,77-78",1306.82,3.67,
"339-U1385D-15H-6,7-8",1303.19,3.55,
"339-U1385D-15H-6,78-79",1306.82,3.71,
"339-U1385D-15H-6,79-80",1306.89,3.32,
"339-U1385D-15H-6,80-81",1306.95,3.56,
"339-U1385D-15H-6,80-81",1306.89,,1.007
"339-U1385D-15H-6,9-10",1303.33,3.6,
"339-U1385E-16H-5,100-101",1309.26,3.24,
"339-U1385E-16H-5,100-101",1309.26,,1.087
"339-U1385E-16H-5,101-102",1309.33,3.28,
"339-U1385E-16H-5,102-103",1309.39,3.13,
"339-U1385E-16H-5,103-104",1309.46,2.94,
"339-U1385E-16H-5,104-105",1309.46,3.32,
"339-U1385E-16H-5,106-107",1309.59,3.27,
"339-U1385E-16H-5,107-108",1309.66,3.23,
"339-U1385E-16H-5,108-109",1309.72,3.05,
"339-U1385E-16H-5,109-110",1309.79,3.03,
"339-U1385E-16H-5,110-111",1309.79,3.19,
"339-U1385E-16H-5,111-112",1309.85,3.27,
"339-U1385E-16H-5,112-113",1309.92,2.93,
"339-U1385E-16H-5,113-114",1309.99,3.16,
"339-U1385E-16H-5,114-115",1310.05,2.85,
"339-U1385E-16H-5,115-116",1310.12,2.9,
"339-U1385E-16H-5,116-117",1310.18,2.96,
"339-U1385E-16H-5,118-119",1310.25,3.22,
"339-U1385E-16H-5,119-120",1310.31,3.03,
"339-U1385E-16H-5,120-121",1310.38,3.18,
"339-U1385E-16H-5,120-121",1310.38,,1.287
"339-U1385E-16H-5,121-122",1310.45,2.95,
"339-U1385E-16H-5,122-123",1310.51,2.95,
"339-U1385E-16H-5,123-124",1310.58,3.03,
"339-U1385E-16H-5,124-125",1310.58,3.08,
"339-U1385E-16H-5,125-126",1310.64,3.07,
"339-U1385E-16H-5,127-128",1310.78,2.81,
"339-U1385E-16H-5,128-129",1310.84,2.93,
"339-U1385E-16H-5,129-130",1310.91,3.01,
"339-U1385E-16H-5,130-131",1310.97,2.73,
"339-U1385E-16H-5,131-132",1310.97,2.88,
"339-U1385E-16H-5,133-134",1311.11,3,
"339-U1385E-16H-5,134-135",1311.17,2.86,
"339-U1385E-16H-5,135-136",1311.24,2.64,
"339-U1385E-16H-5,136-137",1311.3,2.91,
"339-U1385E-16H-5,138-139",1311.37,2.51,
"339-U1385E-16H-5,139-140",1311.44,3.02,
"339-U1385E-16H-5,140-141",1311.5,3.15,
"339-U1385E-16H-5,140-141",1311.5,,1.526
"339-U1385E-16H-5,141-142",1311.57,3.01,
"339-U1385E-16H-5,142-143",1311.63,3.12,
"339-U1385E-16H-5,145-146",1311.77,2.89,
"339-U1385E-16H-5,146-147",1311.83,3.16,
"339-U1385E-16H-5,148-149",1311.96,3.21,
"339-U1385E-16H-5,149-150",1312.09,3.44,
"339-U1385E-16H-5,150-151",1312.16,3.23,
"339-U1385E-16H-5,59-60",1306.95,3.91,
"339-U1385E-16H-5,60-61",1307.02,3.79,
"339-U1385E-16H-5,60-61",1307.02,,1.018
"339-U1385E-16H-5,61-62",1307.08,3.58,
"339-U1385E-16H-5,62-63",1307.15,3.35,
"339-U1385E-16H-5,63-64",1307.15,3.35,
"339-U1385E-16H-5,64-65",1307.22,3.24,
"339-U1385E-16H-5,65-66",1307.28,3.46,
"339-U1385E-16H-5,66-67",1307.35,3.35,
"339-U1385E-16H-5,67-68",1307.41,3.56,
"339-U1385E-16H-5,68-69",1307.48,3.45,
"339-U1385E-16H-5,69-70",1307.55,3.38,
"339-U1385E-16H-5,70-71",1307.55,3.41,
"339-U1385E-16H-5,72-73",1307.68,3.5,
"339-U1385E-16H-5,73-74",1307.74,3.23,
"339-U1385E-16H-5,74-75",1307.81,3.62,
"339-U1385E-16H-5,75-76",1307.88,3.59,
"339-U1385E-16H-5,76-77",1307.94,3.28,
"339-U1385E-16H-5,77-78",1307.94,3.47,
"339-U1385E-16H-5,78-79",1308.01,3.47,
"339-U1385E-16H-5,79-80",1308.07,3.55,
"339-U1385E-16H-5,80-81",1308.14,3.49,
"339-U1385E-16H-5,80-81",1308.14,,1.159
"339-U1385E-16H-5,81-82",1308.21,3.41,
"339-U1385E-16H-5,82-83",1308.27,3.48,
"339-U1385E-16H-5,83-84",1308.34,3.35,
"339-U1385E-16H-5,84-85",1308.34,3.4,
"339-U1385E-16H-5,85-86",1308.4,3.45,
"339-U1385E-16H-5,86-87",1308.47,3.46,
"339-U1385E-16H-5,87-88",1308.53,3.41,
"339-U1385E-16H-5,88-89",1308.6,3.37,
"339-U1385E-16H-5,89-90",1308.67,3.28,
"339-U1385E-16H-5,90-91",1308.67,3.29,
"339-U1385E-16H-5,91-92",1308.73,3.26,
"339-U1385E-16H-5,92-93",1308.8,3.03,
"339-U1385E-16H-5,93-94",1308.86,3.28,
"339-U1385E-16H-5,94-95",1308.93,3.38,
"339-U1385E-16H-5,95-96",1309,3.17,
"339-U1385E-16H-5,96-97",1309.06,3.3,
"339-U1385E-16H-5,97-98",1309.06,3.34,
"339-U1385E-16H-5,98-99",1309.13,3.32,
"339-U1385E-16H-5,99-100",1309.19,3.23,
"339-U1385E-16H-6,0-1",1312.36,3.56,
"339-U1385E-16H-6,0-1",1312.36,,1.235
"339-U1385E-16H-6,10-11",1313.28,3.26,
"339-U1385E-16H-6,11-12",1313.35,3.16,
"339-U1385E-16H-6,1-2",1312.42,3.3,
"339-U1385E-16H-6,12-13",1313.48,3.29,
"339-U1385E-16H-6,13-14",1313.55,3.16,
"339-U1385E-16H-6,14-15",1313.61,3.14,
"339-U1385E-16H-6,15-16",1313.74,3.14,
"339-U1385E-16H-6,16-17",1313.81,3.21,
"339-U1385E-16H-6,17-18",1313.94,3.27,
"339-U1385E-16H-6,18-19",1314.01,2.94,
"339-U1385E-16H-6,19-20",1314.07,3.28,
"339-U1385E-16H-6,20-21",1314.14,3.11,
"339-U1385E-16H-6,20-21",1314.14,,1.198
"339-U1385E-16H-6,21-22",1314.14,3.32,
"339-U1385E-16H-6,22-23",1314.2,3.27,
"339-U1385E-16H-6,2-3",1312.56,3.27,
"339-U1385E-16H-6,23-24",1314.27,3.26,
"339-U1385E-16H-6,24-25",1314.34,3.24,
"339-U1385E-16H-6,25-26",1314.34,3.28,
"339-U1385E-16H-6,26-27",1314.4,3.25,
"339-U1385E-16H-6,27-28",1314.47,3.27,
"339-U1385E-16H-6,28-29",1314.53,3.16,
"339-U1385E-16H-6,29-30",1314.6,3.18,
"339-U1385E-16H-6,30-31",1314.6,3.22,
"339-U1385E-16H-6,32-33",1314.73,3.01,
"339-U1385E-16H-6,33-34",1314.79,2.89,
"339-U1385E-16H-6,3-4",1312.62,3.22,
"339-U1385E-16H-6,34-35",1314.86,3.11,
"339-U1385E-16H-6,36-37",1314.92,3.31,
"339-U1385E-16H-6,37-38",1314.99,2.88,
"339-U1385E-16H-6,38-39",1315.05,3.05,
"339-U1385E-16H-6,39-40",1315.05,3.14,
"339-U1385E-16H-6,40-41",1315.12,3.06,
"339-U1385E-16H-6,40-41",1315.12,,1.178
"339-U1385E-16H-6,42-43",1315.25,3.02,
"339-U1385E-16H-6,43-44",1315.31,3.19,
"339-U1385E-16H-6,44-45",1315.31,3.25,
"339-U1385E-16H-6,4-5",1312.75,3.08,
"339-U1385E-16H-6,45-46",1315.37,3.02,
"339-U1385E-16H-6,47-48",1315.5,3.07,
"339-U1385E-16H-6,48-49",1315.57,2.91,
"339-U1385E-16H-6,49-50",1315.57,3,
"339-U1385E-16H-6,50-51",1315.63,3.12,
"339-U1385E-16H-6,51-52",1315.7,3.07,
"339-U1385E-16H-6,52-53",1315.76,2.92,
"339-U1385E-16H-6,53-54",1315.76,2.94,
"339-U1385E-16H-6,54-55",1315.83,2.89,
"339-U1385E-16H-6,55-56",1315.89,2.89,
"339-U1385E-16H-6,5-6",1312.82,3.36,
"339-U1385E-16H-6,56-57",1315.95,2.97,
"339-U1385E-16H-6,57-58",1316.02,2.82,
"339-U1385E-16H-6,59-60",1316.08,2.78,
"339-U1385E-16H-6,60-61",1316.15,3,
"339-U1385E-16H-6,60-61",1316.15,,1.334
"339-U1385E-16H-6,62-63",1316.28,3.01,
"339-U1385E-16H-6,63-64",1316.28,3.09,
"339-U1385E-16H-6,64-65",1316.34,3.13,
"339-U1385E-16H-6,65-66",1316.41,2.95,
"339-U1385E-16H-6,66-67",1316.47,2.66,
"339-U1385E-16H-6,6-7",1312.89,3.33,
"339-U1385E-16H-6,67-68",1316.47,2.84,
"339-U1385E-16H-6,68-69",1316.54,2.86,
"339-U1385E-16H-6,69-70",1316.6,2.76,
"339-U1385E-16H-6,70-71",1316.66,2.75,
"339-U1385E-16H-6,71-72",1316.73,2.79,
"339-U1385E-16H-6,72-73",1316.73,2.9,
"339-U1385E-16H-6,73-74",1316.79,2.76,
"339-U1385E-16H-6,75-76",1316.92,2.77,
"339-U1385E-16H-6,76-77",1316.92,3.03,
"339-U1385E-16H-6,77-78",1316.99,2.61,
"339-U1385E-16H-6,7-8",1313.02,2.84,
"339-U1385E-16H-6,79-80",1317.12,2.89,
"339-U1385E-16H-6,80-81",1317.18,2.93,
"339-U1385E-16H-6,80-81",1317.18,,1.467
"339-U1385E-16H-6,8-9",1313.08,3.25,
"339-U1385E-16H-6,9-10",1313.15,3.15,
